id,module_name,table_name,action,status,user_id,details,ip,user_agent,created_at
"22ecef0e-3daa-4567-bbca-79d7fd4d5182","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:47:46.592000"
"84946ec4-d65f-4efb-a39f-fdf99356265c","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:47:23.520000"
"f82741d5-ffd2-40a0-ab76-77e5a52eab1e","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:38:07.953000"
"a8e6ff85-644f-4f71-82be-058536f2b8ae","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:30:28.356000"
"c877c916-8a09-49a5-8838-2b3433a3ec82","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:30:18.036000"
"934861f2-6d9c-4806-8697-5271040e4e10","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:29:52.558000"
"effb9165-d818-4ce8-ad20-daf38d74d6cd","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T08:29:11.736000"
"32d5a9a5-59c2-4350-bc7c-7810f3bb425d","audit","opportunitydocument","upload","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T08:18:41.866000"
"730a1310-c268-40bf-afa1-fcf32d2eaadf","audit","lead","convert","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T08:17:46.796000"
"abd26e6e-1c32-4e09-8a01-5328523291cd","audit","lead","update","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T08:17:42.160000"
"1964b942-3525-43ce-9c74-14c6936cbd22","audit","lead","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T08:17:35.779000"
"12a0857a-549a-440c-bedc-fc7a59d2b804","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:57:44.002000"
"c9a77997-4d36-4533-94ca-27f0c8d3b0bb","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:56:37.461000"
"088f3ab6-eded-44b4-9866-8389b6dd7cdb","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:55:10.713000"
"2a7f92f7-f361-4d7f-bc26-b399b0f1307f","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:50:32.269000"
"499c7e30-7b53-4881-aa4a-98f46fb638f9","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:48:37.514000"
"e2181108-eb24-44d6-8996-235d61a635c0","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:48:28.621000"
"c578041e-b60b-49c6-bef8-70e3c853ee48","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:48:18.055000"
"1adb70f2-bbbb-47ef-a29b-d9f806f117b4","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:47:57.347000"
"353d1de0-a77a-481a-9c67-7a21a2d3b8a6","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:47:14.974000"
"26e77686-a871-4216-8610-ef22b695e539","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:47:06.027000"
"a76387d8-17bf-434e-aeda-0966fd745d23","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:46:57.351000"
